,,,,,"esteban#2504","Warma#2764"
0,"Moonfire",4,100.0%,,2,2
1,"Jungle Giants",2,100.0%,,1,1
1,"Lesser Jasper Spellstone",4,100.0%,,2,2
1,"Naturalize",2,100.0%,,1,1
2,"Wild Growth",4,100.0%,,2,2
3,"Ferocious Howl",4,100.0%,,2,2
4,"Cursed Disciple",4,100.0%,,2,2
4,"Oaken Summons",4,100.0%,,2,2
4,"Swipe",4,100.0%,,2,2
5,"Corrosive Sludge",2,100.0%,,1,1
5,"Faceless Manipulator",4,100.0%,,2,2
5,"Harrison Jones",2,100.0%,,1,1
5,"Ixlid, Fungal Lord",2,100.0%,,1,1
5,"Nourish",4,100.0%,,2,2
6,"Spreading Plague",4,100.0%,,2,2
7,"Malfurion the Pestilent",2,100.0%,,1,1
8,"The Lich King",2,100.0%,,1,1
9,"Alexstrasza",2,100.0%,,1,1
9,"Malygos",2,100.0%,,1,1
10,"Ultimate Infestation",2,100.0%,,1,1
